scenario,parameter,symbol,value,unit,source_location
both,longitudinal dispersivity,alpha_L,0.015,m,Report Table 1
both,tortuosity,tau,0.8,-,Report Table 1
method1,hydraulic conductivity,K,17,m/day,Report Table 1
method2,hydraulic conductivity,K,46.4,m/day,Report Table 1
both,porosity,n,0.38,-,Report Table 1
both,hydraulic gradient,i,0.0033,-,Report Table 1
both,molecular diffusion TCE,D0_TCE,10.1e-6,cm^2/s,Report Table 1
both,molecular diffusion cDCE,D0_cDCE,11.4e-6,cm^2/s,Report Table 1
both,molecular diffusion VC,D0_VC,13.3e-6,cm^2/s,Report Table 1
both,volumetric mass-transfer coefficient,KT_A_V,7.8e-4,day^-1,Report text
both,initial TCE concentration,C0,10,mg/L,Report text
both,initial source mass,M0,1e9,mg,Report text
method1,cell density,X,9.2e9,cells/L,Report Table 2
method2,cell density,X,1e10,cells/L,Report Table 2
