time_day,TCE_zone1_x17_5_mg_L,TCE_zone2_x2_mg_L,cDCE_zone2_x2_mg_L,VC_zone2_x2_mg_L,TCE_zone2_x15_mg_L,cDCE_zone2_x15_mg_L,VC_zone2_x15_mg_L,TCE_zone2_x28_mg_L,cDCE_zone2_x28_mg_L,VC_zone2_x28_mg_L,source_mass_mg,source_active
0,10,0,0,0,0,0,0,0,0,0,1000000000,1
0.03,10.030186,0,0,0,0,0,0,0,0,0,999850069.60939,1
0.06,10.0603712936476,0,0,0,0,0,0,0,0,0,999700142.579049,1
0.09,10.0905558809593,0,0,0,0,0,0,0,0,0,999550218.908603,1
0.12,10.1207397619517,0,0,0,0,0,0,0,0,0,999400298.59766,1
0.15,10.1509229366413,0,0,0,0,0,0,0,0,0,999250381.645803,1
0.18,10.1811054050446,0,0,0,0,0,0,0,0,0,999100468.052604,1
0.21,10.2112871671781,0,0,0,0,0,0,0,0,0,998950557.817619,1
0.24,10.2414682230584,0,0,0,0,0,0,0,0,0,998800650.940391,1
0.27,10.271648572702,0,0,0,0,0,0,0,0,0,998650747.420455,1
0.3,10.3018282161254,0,0,0,0,0,0,0,0,0,998500847.257337,1
0.33,10.3320071533451,0,0,0,0,0,0,0,0,0,998350950.450555,1
0.36,10.3621853843777,0,0,0,0,0,0,0,0,0,998201056.999623,1
0.39,10.3923629092397,0,0,0,0,0,0,0,0,0,998051166.904048,1
0.42,10.4225397279477,0,0,0,0,0,0,0,0,0,997901280.163333,1
0.45,10.452715840518,0,0,0,0,0,0,0,0,0,997751396.776977,1
0.48,10.4828912469674,0,0,0,0,0,0,0,0,0,997601516.744477,1
0.51,10.5130659473122,0,0,0,0,0,0,0,0,0,997451640.065325,1
0.54,10.543239941569,0,0,0,0,0,0,0,0,0,997301766.739014,1
0.57,10.5734132297544,0,0,0,0,0,0,0,0,0,997151896.765032,1
0.6,10.6035858118848,0,0,0,0,0,0,0,0,0,997002030.142866,1
0.63,10.6337576879768,0,0,0,0,0,0,0,0,0,996852166.872003,1
0.66,10.6639288580469,0,0,0,0,0,0,0,0,0,996702306.951928,1
0.69,10.6940993221116,0,0,0,0,0,0,0,0,0,996552450.382125,1
0.72,10.7242690801875,0,0,0,0,0,0,0,0,0,996402597.162077,1
0.75,10.754438132291,0,0,0,0,0,0,0,0,0,996252747.291265,1
0.78,10.7846064784387,0,0,0,0,0,0,0,0,0,996102900.769173,1
0.81,10.8147741186471,0,0,0,0,0,0,0,0,0,995953057.59528,1
0.84,10.8449410529327,0,0,0,0,0,0,0,0,0,995803217.769067,1
0.87,10.8751072813121,0,0,0,0,0,0,0,0,0,995653381.290016,1
0.9,10.9052728038017,0,0,0,0,0,0,0,0,0,995503548.157606,1
0.93,10.9354376204181,0,0,0,0,0,0,0,0,0,995353718.371316,1
0.96,10.9656017311778,0,0,0,0,0,0,0,0,0,995203891.930626,1
0.99,10.9957651360973,0,0,0,0,0,0,0,0,0,995054068.835016,1
1.02,11.0259278351931,0,0,0,0,0,0,0,0,0,994904249.083965,1
1.05,11.0560898284818,0,0,0,0,0,0,0,0,0,994754432.676951,1
1.08,11.0862511159798,0,0,0,0,0,0,0,0,0,994604619.613454,1
1.11,11.1164116977037,0,0,0,0,0,0,0,0,0,994454809.892953,1
1.14,11.1465715736699,0,0,0,0,0,0,0,0,0,994305003.514925,1
1.17,11.1767307438951,0,0,0,0,0,0,0,0,0,994155200.478851,1
1.2,11.2068892083957,0,0,0,0,0,0,0,0,0,994005400.784208,1
1.23,11.2370469671882,0,0,0,0,0,0,0,0,0,993855604.430475,1
1.26,11.2672040202892,0,0,0,0,0,0,0,0,0,993705811.417131,1
1.29,11.2973603677151,0,0,0,0,0,0,0,0,0,993556021.743654,1
1.32,11.3275160094825,0,0,0,0,0,0,0,0,0,993406235.409523,1
1.35,11.3576709456079,0,0,0,0,0,0,0,0,0,993256452.414217,1
1.38,11.3878251761078,0,0,0,0,0,0,0,0,0,993106672.757214,1
1.41,11.4179787009987,0,0,0,0,0,0,0,0,0,992956896.437992,1
1.44,11.4481315202971,0,0,0,0,0,0,0,0,0,992807123.45603,1
1.47,11.4782836340195,0,0,0,0,0,0,0,0,0,992657353.810806,1
1.5,11.5084350421824,0,0,0,0,0,0,0,0,0,992507587.5018,1
1.53,11.5385857448025,0,0,0,0,0,0,0,0,0,992357824.528489,1
1.56,11.568735741896,0,0,0,0,0,0,0,0,0,992208064.890352,1
1.59,11.5988850334797,0,0,0,0,0,0,0,0,0,992058308.586868,1
1.62,11.6290336195699,0,0,0,0,0,0,0,0,0,991908555.617516,1
1.65,11.6591815001832,0,0,0,0,0,0,0,0,0,991758805.981773,1
1.68,11.6893286753361,0,0,0,0,0,0,0,0,0,991609059.679119,1
1.71,11.7194751450451,0,0,0,0,0,0,0,0,0,991459316.709033,1
1.74,11.7496209093267,0,0,0,0,0,0,0,0,0,991309577.070992,1
1.77,11.7797659681974,0,0,0,0,0,0,0,0,0,991159840.764476,1
1.8,11.8099103216738,0,0,0,0,0,0,0,0,0,991010107.788963,1
1.83,11.8400539697722,0,0,0,0,0,0,0,0,0,990860378.143932,1
1.86,11.8701969125093,0,0,0,0,0,0,0,0,0,990710651.828862,1
1.89,11.9003391499016,0,0,0,0,0,0,0,0,0,990560928.843231,1
1.92,11.9304806819655,0,0,0,0,0,0,0,0,0,990411209.186519,1
1.95,11.9606215087175,0,0,0,0,0,0,0,0,0,990261492.858204,1
1.98,11.9907616301742,0,0,0,0,0,0,0,0,0,990111779.857764,1
2.01,12.0209010463521,0,0,0,0,0,0,0,0,0,989962070.18468,1
2.04,12.0510397572676,0,0,0,0,0,0,0,0,0,989812363.838428,1
2.07,12.0811777629373,0,0,0,0,0,0,0,0,0,989662660.81849,1
2.1,12.1113150633776,0,0,0,0,0,0,0,0,0,989512961.124343,1
2.13,12.1414516586051,0,0,0,0,0,0,0,0,0,989363264.755466,1
2.16,12.1715875486363,0,0,0,0,0,0,0,0,0,989213571.711339,1
2.19,12.2017227334877,0,0,0,0,0,0,0,0,0,989063881.99144,1
2.22,12.2318572131757,0,0,0,0,0,0,0,0,0,988914195.595248,1
2.25,12.2619909877169,0,0,0,0,0,0,0,0,0,988764512.522242,1
2.28,12.2921240571278,0,0,0,0,0,0,0,0,0,988614832.771902,1
2.31,12.3222564214249,0,0,0,0,0,0,0,0,0,988465156.343706,1
2.34,12.3523880806246,0,0,0,0,0,0,0,0,0,988315483.237134,1
2.37,12.3825190347436,0,0,0,0,0,0,0,0,0,988165813.451664,1
2.4,12.4126492837981,0,0,0,0,0,0,0,0,0,988016146.986776,1
2.43,12.4427788278049,0,0,0,0,0,0,0,0,0,987866483.841949,1
2.46,12.4729076667803,0,0,0,0,0,0,0,0,0,987716824.016662,1
2.49,12.5030358007409,0,0,0,0,0,0,0,0,0,987567167.510395,1
2.52,12.5331632297032,0,0,0,0,0,0,0,0,0,987417514.322626,1
2.55,12.5632899536836,0,0,0,0,0,0,0,0,0,987267864.452834,1
2.58,12.5934159726987,0,0,0,0,0,0,0,0,0,987118217.9005,1
2.61,12.6235412867649,0,0,0,0,0,0,0,0,0,986968574.665102,1
2.64,12.6536658958988,0,0,0,0,0,0,0,0,0,986818934.746119,1
2.67,12.6837898001169,0,0,0,0,0,0,0,0,0,986669298.143031,1
2.7,12.7139129994355,0,0,0,0,0,0,0,0,0,986519664.855318,1
2.73,12.7440354938714,0,0,0,0,0,0,0,0,0,986370034.882458,1
2.76,12.7741572834408,0,0,0,0,0,0,0,0,0,986220408.223932,1
2.79,12.8042783681604,0,0,0,0,0,0,0,0,0,986070784.879218,1
