time_day,TCE_zone1_mid_mg_L,TCE_zone2_mid_mg_L,TCE_PRB_inlet_mg_L,cDCE_PRB_inlet_mg_L,VC_PRB_inlet_mg_L,TCE_PRB_mid_mg_L,cDCE_PRB_mid_mg_L,VC_PRB_mid_mg_L,source_mass_mg,source_active,pore_velocity_m_day
0,10,0,0,0,0,0,0,0,1000000000,1,0.147631578947368
0.05,10.05031,0,0,0,0,0,0,0,999750116.01565,1,0.147631578947368
0.1,10.10061803791,0,0,0,0,0,0,0,999500241.365379,1,0.147631578947368
0.15,10.1509241138065,0,0,0,0,0,0,0,999250376.047464,1,0.147631578947368
0.2,10.2012282277661,0,0,0,0,0,0,0,999000520.060008,1,0.147631578947368
0.25,10.2515303798652,0,0,0,0,0,0,0,998750673.400982,1,0.147631578947368
0.3,10.3018305701804,0,0,0,0,0,0,0,998500836.068262,1,0.147631578947368
0.35,10.3521287987881,0,0,0,0,0,0,0,998251008.05965,1,0.147631578947368
0.4,10.402425065765,0,0,0,0,0,0,0,998001189.372895,1,0.147631578947368
0.45,10.4527193711874,0,0,0,0,0,0,0,997751380.005702,1,0.147631578947368
0.5,10.503011715132,0,0,0,0,0,0,0,997501579.955748,1,0.147631578947368
0.55,10.5533020976751,0,0,0,0,0,0,0,997251789.220686,1,0.147631578947368
0.6,10.6035905188933,0,0,0,0,0,0,0,997002007.798152,1,0.147631578947368
0.65,10.653876978863,0,0,0,0,0,0,0,996752235.685768,1,0.147631578947368
0.7,10.7041614776608,0,0,0,0,0,0,0,996502472.881147,1,0.147631578947368
0.75,10.7544440153632,0,0,0,0,0,0,0,996252719.381896,1,0.147631578947368
0.8,10.8047245920466,0,0,0,0,0,0,0,996002975.185614,1,0.147631578947368
0.85,10.8550032077875,0,0,0,0,0,0,0,995753240.289897,1,0.147631578947368
0.9,10.9052798626624,0,0,0,0,0,0,0,995503514.69234,1,0.147631578947368
0.95,10.9555545567478,0,0,0,0,0,0,0,995253798.390532,1,0.147631578947368
1,11.0058272901201,0,0,0,0,0,0,0,995004091.382064,1,0.147631578947368
1.05,11.0560980628557,0,0,0,0,0,0,0,994754393.664522,1,0.147631578947368
1.1,11.1063668750313,0,0,0,0,0,0,0,994504705.235495,1,0.147631578947368
1.15,11.1566337267232,0,0,0,0,0,0,0,994255026.092568,1,0.147631578947368
1.2,11.2068986180078,0,0,0,0,0,0,0,994005356.233329,1,0.147631578947368
1.25,11.2571615489617,0,0,0,0,0,0,0,993755695.655362,1,0.147631578947368
1.3,11.3074225196613,0,0,0,0,0,0,0,993506044.356254,1,0.147631578947368
1.35,11.357681530183,0,0,0,0,0,0,0,993256402.333589,1,0.147631578947368
1.4,11.4079385806034,0,0,0,0,0,0,0,993006769.584954,1,0.147631578947368
1.45,11.4581936709987,0,0,0,0,0,0,0,992757146.107934,1,0.147631578947368
1.5,11.5084468014456,0,0,0,0,0,0,0,992507531.900114,1,0.147631578947368
1.55,11.5586979720203,0,0,0,0,0,0,0,992257926.959081,1,0.147631578947368
1.6,11.6089471827994,0,0,0,0,0,0,0,992008331.28242,1,0.147631578947368
1.65,11.6591944338593,0,0,0,0,0,0,0,991758744.867717,1,0.147631578947368
1.7,11.7094397252763,0,0,0,0,0,0,0,991509167.712559,1,0.147631578947368
1.75,11.759683057127,0,0,0,0,0,0,0,991259599.81453,1,0.147631578947368
1.8,11.8099244294878,0,0,0,0,0,0,0,991010041.171218,1,0.147631578947368
1.85,11.8601638424351,0,0,0,0,0,0,0,990760491.780209,1,0.147631578947368
1.9,11.9104012960452,0,0,0,0,0,0,0,990510951.63909,1,0.147631578947368
1.95,11.9606367903947,0,0,0,0,0,0,0,990261420.745448,1,0.147631578947368
2,12.0108703255598,0,0,0,0,0,0,0,990011899.096869,1,0.147631578947368
2.05,12.0611019016171,0,0,0,0,0,0,0,989762386.690941,1,0.147631578947368
2.1,12.111331518643,0,0,0,0,0,0,0,989512883.525251,1,0.147631578947368
2.15,12.1615591767137,0,0,0,0,0,0,0,989263389.597387,1,0.147631578947368
2.2,12.2117848759059,0,0,0,0,0,0,0,989013904.904936,1,0.147631578947368
2.25,12.2620086162957,0,0,0,0,0,0,0,988764429.445486,1,0.147631578947368
2.3,12.3122303979597,0,0,0,0,0,0,0,988514963.216626,1,0.147631578947368
2.35,12.3624502209741,0,0,0,0,0,0,0,988265506.215942,1,0.147631578947368
2.4,12.4126680854155,0,0,0,0,0,0,0,988016058.441025,1,0.147631578947368
2.45,12.4628839913602,0,0,0,0,0,0,0,987766619.889461,1,0.147631578947368
2.5,12.5130979388845,0,0,0,0,0,0,0,987517190.558841,1,0.147631578947368
2.55,12.5633099280649,0,0,0,0,0,0,0,987267770.446753,1,0.147631578947368
2.6,12.6135199589777,0,0,0,0,0,0,0,987018359.550785,1,0.147631578947368
2.65,12.6637280316993,0,0,0,0,0,0,0,986768957.868528,1,0.147631578947368
2.7,12.7139341463061,0,0,0,0,0,0,0,986519565.39757,1,0.147631578947368
2.75,12.7641383028744,0,0,0,0,0,0,0,986270182.135501,1,0.147631578947368
2.8,12.8143405014806,0,0,0,0,0,0,0,986020808.079912,1,0.147631578947368
2.85,12.864540742201,0,0,0,0,0,0,0,985771443.228391,1,0.147631578947368
2.9,12.9147390251121,0,0,0,0,0,0,0,985522087.578529,1,0.147631578947368
2.95,12.9649353502901,0,0,0,0,0,0,0,985272741.127916,1,0.147631578947368
3,13.0151297178114,0,0,0,0,0,0,0,985023403.874143,1,0.147631578947368
3.05,13.0653221277524,0,0,0,0,0,0,0,984774075.8148,1,0.147631578947368
3.1,13.1155125801894,0,0,0,0,0,0,0,984524756.947478,1,0.147631578947368
3.15,13.1657010751988,0,0,0,0,0,0,0,984275447.269768,1,0.147631578947368
3.2,13.2158876128569,0,0,0,0,0,0,0,984026146.779262,1,0.147631578947368
3.25,13.26607219324,0,0,0,0,0,0,0,983776855.47355,1,0.147631578947368
3.3,13.3162548164244,0,0,0,0,0,0,0,983527573.350224,1,0.147631578947368
3.35,13.3664354824866,0,0,0,0,0,0,0,983278300.406876,1,0.147631578947368
3.4,13.4166141915028,0,0,0,0,0,0,0,983029036.641097,1,0.147631578947368
3.45,13.4667909435493,0,0,0,0,0,0,0,982779782.05048,1,0.147631578947368
